state,district,crop,season,crop_year,area_hectare,production_tonne,yield_kg_per_hectare
Nagaland,,Rice,Rabi,2024,0.01,0.03,1950.00
Nagaland,,Rice,Total,2021,1.22,1.51,1234.00
Nagaland,,Rice,Total,2022,2.11,3.70,1751.00
Nagaland,,Rice,Total,2023,2.10,3.69,1753.00
Nagaland,,Rice,Total,2024,1.97,3.43,1736.00
Odisha,,Rice,Kharif,2021,36.48,81.54,2235.00
Odisha,,Rice,Kharif,2022,37.29,70.81,1899.00
Odisha,,Rice,Kharif,2023,37.01,72.79,1967.00
Odisha,,Rice,Kharif,2024,34.19,81.44,2382.00
Odisha,,Rice,Kharif,2025,34.80,89.05,2559.00
Odisha,,Rice,Rabi,2021,2.99,11.37,3797.00
Odisha,,Rice,Summer,2022,3.36,11.69,3485.00
Odisha,,Rice,Summer,2023,3.71,11.95,3219.00
Odisha,,Rice,Summer,2024,4.15,13.84,3338.00
Odisha,,Rice,Summer,2025,3.77,13.12,3485.00
Odisha,,Rice,Total,2021,39.48,92.91,2353.00
Odisha,,Rice,Total,2022,40.64,82.50,2030.00
Odisha,,Rice,Total,2023,40.72,84.74,2081.00
Odisha,,Rice,Total,2024,38.34,95.27,2485.00
Odisha,,Rice,Total,2025,38.56,102.18,2650.00
Puducherry,,Rice,Kharif,2021,0.04,0.13,2956.00
Puducherry,,Rice,Kharif,2022,0.04,0.14,3311.00
Puducherry,,Rice,Kharif,2023,0.04,0.13,3142.00
Puducherry,,Rice,Kharif,2024,0.03,0.09,2765.00
Puducherry,,Rice,Rabi,2021,0.15,0.44,2992.00
Puducherry,,Rice,Rabi,2022,0.10,0.32,3137.00
Puducherry,,Rice,Rabi,2023,0.10,0.32,3139.00
Puducherry,,Rice,Rabi,2024,0.09,0.23,2520.00
Puducherry,,Rice,Summer,2022,0.05,0.19,3635.00
Puducherry,,Rice,Summer,2023,0.05,0.16,3112.00
Puducherry,,Rice,Summer,2024,0.05,0.15,3218.00
Puducherry,,Rice,Total,2021,0.19,0.57,2984.00
Puducherry,,Rice,Total,2022,0.20,0.65,3304.00
Puducherry,,Rice,Total,2023,0.20,0.61,3133.00
Puducherry,,Rice,Total,2024,0.17,0.47,2761.00
Punjab,,Rice,Kharif,2021,29.69,128.85,4340.00
Punjab,,Rice,Kharif,2022,30.98,129.91,4193.00
Punjab,,Rice,Kharif,2023,31.79,143.56,4516.00
Punjab,,Rice,Kharif,2024,32.43,143.61,4428.00
Punjab,,Rice,Kharif,2025,32.68,125.33,3835.00
Punjab,,Rice,Rabi,2021,,0.00,
Punjab,,Rice,Total,2021,29.69,128.85,4340.00
Punjab,,Rice,Total,2022,30.98,129.91,4193.00
Punjab,,Rice,Total,2023,31.79,143.56,4516.00
Punjab,,Rice,Total,2024,32.43,143.61,4428.00
Punjab,,Rice,Total,2025,32.68,125.33,3835.00
Rajasthan,,Rice,Kharif,2021,1.96,4.79,2436.00
Rajasthan,,Rice,Kharif,2022,2.34,5.77,2464.00
