subdivision,year,month,rainfall_mm
Andaman & Nicobar Islands,1933,3,8.1
Andaman & Nicobar Islands,1933,4,58.4
Andaman & Nicobar Islands,1933,5,365.4
Andaman & Nicobar Islands,1933,6,544.2
Andaman & Nicobar Islands,1933,7,376.6
Andaman & Nicobar Islands,1933,8,294.1
Andaman & Nicobar Islands,1933,9,759
Andaman & Nicobar Islands,1933,10,239.8
Andaman & Nicobar Islands,1933,11,268.8
Andaman & Nicobar Islands,1933,12,56.9
Andaman & Nicobar Islands,1934,1,7.3
Andaman & Nicobar Islands,1934,2,172.9
Andaman & Nicobar Islands,1934,3,6.9
Andaman & Nicobar Islands,1934,4,131.4
Andaman & Nicobar Islands,1934,5,62
Andaman & Nicobar Islands,1934,6,708.4
Andaman & Nicobar Islands,1934,7,323.5
Andaman & Nicobar Islands,1934,8,924.9
Andaman & Nicobar Islands,1934,9,761.1
Andaman & Nicobar Islands,1934,10,338.1
Andaman & Nicobar Islands,1934,11,240.2
Andaman & Nicobar Islands,1934,12,46.1
Andaman & Nicobar Islands,1935,1,6.6
Andaman & Nicobar Islands,1935,2,0
Andaman & Nicobar Islands,1935,3,0.5
Andaman & Nicobar Islands,1935,4,133.6
Andaman & Nicobar Islands,1935,5,726.8
Andaman & Nicobar Islands,1935,6,374.1
Andaman & Nicobar Islands,1935,7,368.7
Andaman & Nicobar Islands,1935,8,411.6
Andaman & Nicobar Islands,1935,9,578.9
Andaman & Nicobar Islands,1935,10,182.4
Andaman & Nicobar Islands,1935,11,275.4
Andaman & Nicobar Islands,1935,12,95.4
Andaman & Nicobar Islands,1936,1,16.5
Andaman & Nicobar Islands,1936,2,15.3
Andaman & Nicobar Islands,1936,3,116.5
Andaman & Nicobar Islands,1936,4,
Andaman & Nicobar Islands,1936,5,194.3
Andaman & Nicobar Islands,1936,6,498.3
Andaman & Nicobar Islands,1936,7,664.8
Andaman & Nicobar Islands,1936,8,562.9
Andaman & Nicobar Islands,1936,9,383.8
Andaman & Nicobar Islands,1936,10,174.9
Andaman & Nicobar Islands,1936,11,199.2
Andaman & Nicobar Islands,1936,12,212.2
Andaman & Nicobar Islands,1937,1,21.6
Andaman & Nicobar Islands,1937,2,10.7
Andaman & Nicobar Islands,1937,3,0
Andaman & Nicobar Islands,1937,4,112
Andaman & Nicobar Islands,1937,5,330.5
Andaman & Nicobar Islands,1937,6,732.8
Andaman & Nicobar Islands,1937,7,449.5
Andaman & Nicobar Islands,1937,8,332
Andaman & Nicobar Islands,1937,9,349.5
Andaman & Nicobar Islands,1937,10,383.3
Andaman & Nicobar Islands,1937,11,251.7
Andaman & Nicobar Islands,1937,12,617.5
Andaman & Nicobar Islands,1938,1,13.4
Andaman & Nicobar Islands,1938,2,57.2
Andaman & Nicobar Islands,1938,3,50.5
Andaman & Nicobar Islands,1938,4,101.6
Andaman & Nicobar Islands,1938,5,368.9
Andaman & Nicobar Islands,1938,6,668.6
Andaman & Nicobar Islands,1938,7,318.2
Andaman & Nicobar Islands,1938,8,397.1
Andaman & Nicobar Islands,1938,9,546.7
Andaman & Nicobar Islands,1938,10,318.4
Andaman & Nicobar Islands,1938,11,316.3
Andaman & Nicobar Islands,1938,12,107.5
Andaman & Nicobar Islands,1939,1,54.1
Andaman & Nicobar Islands,1939,2,1.5
Andaman & Nicobar Islands,1939,3,16.1
Andaman & Nicobar Islands,1939,4,77.3
Andaman & Nicobar Islands,1939,5,480.5
Andaman & Nicobar Islands,1939,6,541
Andaman & Nicobar Islands,1939,7,335.6
Andaman & Nicobar Islands,1939,8,202.8
Andaman & Nicobar Islands,1939,9,512.5
Andaman & Nicobar Islands,1939,10,263.9
Andaman & Nicobar Islands,1939,11,165.9
Andaman & Nicobar Islands,1939,12,131.3
Andaman & Nicobar Islands,1940,1,0.5
Andaman & Nicobar Islands,1940,2,2.8
Andaman & Nicobar Islands,1940,3,59.4
Andaman & Nicobar Islands,1940,4,0
Andaman & Nicobar Islands,1940,5,320.7
Andaman & Nicobar Islands,1940,6,335.4
Andaman & Nicobar Islands,1940,7,268.1
Andaman & Nicobar Islands,1940,8,889.2
Andaman & Nicobar Islands,1940,9,477.5
Andaman & Nicobar Islands,1940,10,114.1
Andaman & Nicobar Islands,1940,11,221
Andaman & Nicobar Islands,1940,12,318.8
Andaman & Nicobar Islands,1941,1,0
Andaman & Nicobar Islands,1941,2,12.8
Andaman & Nicobar Islands,1941,3,0
Andaman & Nicobar Islands,1941,4,77.8
Andaman & Nicobar Islands,1941,5,251.9
Andaman & Nicobar Islands,1941,6,497
Andaman & Nicobar Islands,1941,7,302.5
Andaman & Nicobar Islands,1941,8,311.9
Andaman & Nicobar Islands,1941,9,516
Andaman & Nicobar Islands,1941,10,382.8
Andaman & Nicobar Islands,1941,11,266
Andaman & Nicobar Islands,1941,12,279.5
Andaman & Nicobar Islands,1942,1,39.2
Andaman & Nicobar Islands,1942,2,7.4
Andaman & Nicobar Islands,1942,3,
Andaman & Nicobar Islands,1942,4,
Andaman & Nicobar Islands,1942,5,
Andaman & Nicobar Islands,1942,6,
Andaman & Nicobar Islands,1942,7,
Andaman & Nicobar Islands,1942,8,
Andaman & Nicobar Islands,1942,9,
Andaman & Nicobar Islands,1942,10,
Andaman & Nicobar Islands,1942,11,
Andaman & Nicobar Islands,1942,12,
Andaman & Nicobar Islands,1946,1,84.4
Andaman & Nicobar Islands,1946,2,3.6
Andaman & Nicobar Islands,1946,3,21.1
Andaman & Nicobar Islands,1946,4,135.2
Andaman & Nicobar Islands,1946,5,309.1
Andaman & Nicobar Islands,1946,6,535.9
Andaman & Nicobar Islands,1946,7,189
Andaman & Nicobar Islands,1946,8,367.4
Andaman & Nicobar Islands,1946,9,478.3
Andaman & Nicobar Islands,1946,10,276.9
Andaman & Nicobar Islands,1946,11,146.9
Andaman & Nicobar Islands,1946,12,243.8
Andaman & Nicobar Islands,1947,1,25.1
Andaman & Nicobar Islands,1947,2,111.1
Andaman & Nicobar Islands,1947,3,63.2
Andaman & Nicobar Islands,1947,4,127.7
Andaman & Nicobar Islands,1947,5,206.3
Andaman & Nicobar Islands,1947,6,965.6
Andaman & Nicobar Islands,1947,7,490
Andaman & Nicobar Islands,1947,8,293.7
Andaman & Nicobar Islands,1947,9,
Andaman & Nicobar Islands,1947,10,376
Andaman & Nicobar Islands,1947,11,67.5
Andaman & Nicobar Islands,1947,12,168.6
Andaman & Nicobar Islands,1949,1,0
Andaman & Nicobar Islands,1949,2,56.4
Andaman & Nicobar Islands,1949,3,0
Andaman & Nicobar Islands,1949,4,166.5
Andaman & Nicobar Islands,1949,5,405.8
Andaman & Nicobar Islands,1949,6,658.4
Andaman & Nicobar Islands,1949,7,743.3
Andaman & Nicobar Islands,1949,8,404
Andaman & Nicobar Islands,1949,9,627.5
Andaman & Nicobar Islands,1949,10,339.6
Andaman & Nicobar Islands,1949,11,81.1
Andaman & Nicobar Islands,1949,12,7
Andaman & Nicobar Islands,1950,1,0.8
Andaman & Nicobar Islands,1950,2,0
Andaman & Nicobar Islands,1950,3,0
Andaman & Nicobar Islands,1950,4,95.5
Andaman & Nicobar Islands,1950,5,264.2
Andaman & Nicobar Islands,1950,6,369.9
Andaman & Nicobar Islands,1950,7,366.7
Andaman & Nicobar Islands,1950,8,347.3
Andaman & Nicobar Islands,1950,9,494.5
Andaman & Nicobar Islands,1950,10,224.6
Andaman & Nicobar Islands,1950,11,89.3
Andaman & Nicobar Islands,1950,12,169.4
Andaman & Nicobar Islands,1951,1,82.7
Andaman & Nicobar Islands,1951,2,7.2
Andaman & Nicobar Islands,1951,3,0
Andaman & Nicobar Islands,1951,4,45.4
Andaman & Nicobar Islands,1951,5,259
Andaman & Nicobar Islands,1951,6,619.9
Andaman & Nicobar Islands,1951,7,665.3
Andaman & Nicobar Islands,1951,8,101.3
Andaman & Nicobar Islands,1951,9,360.9
Andaman & Nicobar Islands,1951,10,489
Andaman & Nicobar Islands,1951,11,209.6
Andaman & Nicobar Islands,1951,12,434.8
Andaman & Nicobar Islands,1952,1,0
Andaman & Nicobar Islands,1952,2,0.8
Andaman & Nicobar Islands,1952,3,69.7
Andaman & Nicobar Islands,1952,4,39.4
Andaman & Nicobar Islands,1952,5,452.9
Andaman & Nicobar Islands,1952,6,657.7
Andaman & Nicobar Islands,1952,7,385.5
Andaman & Nicobar Islands,1952,8,541.3
Andaman & Nicobar Islands,1952,9,240.3
Andaman & Nicobar Islands,1952,10,315.6
Andaman & Nicobar Islands,1952,11,287.5
Andaman & Nicobar Islands,1952,12,89.2
Andaman & Nicobar Islands,1953,1,56
Andaman & Nicobar Islands,1953,2,65.3
Andaman & Nicobar Islands,1953,3,20.1
Andaman & Nicobar Islands,1953,4,159.4
Andaman & Nicobar Islands,1953,5,241.1
Andaman & Nicobar Islands,1953,6,549.9
Andaman & Nicobar Islands,1953,7,444.4
Andaman & Nicobar Islands,1953,8,262.8
Andaman & Nicobar Islands,1953,9,370.1
Andaman & Nicobar Islands,1953,10,243.6
Andaman & Nicobar Islands,1953,11,246
Andaman & Nicobar Islands,1953,12,63.3
Andaman & Nicobar Islands,1954,1,83.8
Andaman & Nicobar Islands,1954,2,2.1
Andaman & Nicobar Islands,1954,3,34.3
Andaman & Nicobar Islands,1954,4,58
Andaman & Nicobar Islands,1954,5,394.7
Andaman & Nicobar Islands,1954,6,539.4
Andaman & Nicobar Islands,1954,7,510.8
Andaman & Nicobar Islands,1954,8,605.4
Andaman & Nicobar Islands,1954,9,763.8
Andaman & Nicobar Islands,1954,10,247.2
Andaman & Nicobar Islands,1954,11,84.8
Andaman & Nicobar Islands,1954,12,124.7
Andaman & Nicobar Islands,1955,1,57.3
Andaman & Nicobar Islands,1955,2,28.2
Andaman & Nicobar Islands,1955,3,9.9
Andaman & Nicobar Islands,1955,4,68.8
Andaman & Nicobar Islands,1955,5,663.6
Andaman & Nicobar Islands,1955,6,651.1
Andaman & Nicobar Islands,1955,7,298.4
Andaman & Nicobar Islands,1955,8,356.9
Andaman & Nicobar Islands,1955,9,341.8
Andaman & Nicobar Islands,1955,10,466.5
Andaman & Nicobar Islands,1955,11,362.9
Andaman & Nicobar Islands,1955,12,44.2
Andaman & Nicobar Islands,1956,1,49.2
Andaman & Nicobar Islands,1956,2,77.2
Andaman & Nicobar Islands,1956,3,33.8
Andaman & Nicobar Islands,1956,4,130.3
Andaman & Nicobar Islands,1956,5,491.8
Andaman & Nicobar Islands,1956,6,343.1
Andaman & Nicobar Islands,1956,7,468.4
Andaman & Nicobar Islands,1956,8,467.7
Andaman & Nicobar Islands,1956,9,325.1
Andaman & Nicobar Islands,1956,10,458.7
Andaman & Nicobar Islands,1956,11,164.1
Andaman & Nicobar Islands,1956,12,70.5
Andaman & Nicobar Islands,1957,1,28
Andaman & Nicobar Islands,1957,2,19.3
Andaman & Nicobar Islands,1957,3,4.6
Andaman & Nicobar Islands,1957,4,19
